fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_roc_auc,model
0.16564488410949707,0.010967493057250977,0.9602649006622517,0.9604129511165784,0.9602649006622517,0.960260579314036,0.9927046905718809,PassiveAggressive
0.1890547275543213,0.011994123458862305,0.962673088500903,0.9626743650577603,0.962673088500903,0.9626723306317166,0.9936818520472257,PassiveAggressive
0.16028356552124023,0.01925826072692871,0.962673088500903,0.9628046032521227,0.962673088500903,0.962670436524119,0.9939682941265806,PassiveAggressive
0.1582798957824707,0.012330770492553711,0.9587473652514303,0.9588146775569466,0.9587473652514303,0.9587496396042833,0.9938213965704252,PassiveAggressive
0.15408992767333984,0.014882326126098633,0.9563384522734116,0.9565026812770606,0.9563384522734116,0.9563372250404619,0.9923616778194876,PassiveAggressive
2.5720582008361816,0.015675783157348633,0.9452137266706803,0.9455220432418288,0.9452137266706803,0.9452019279828597,0.988111548967413,LogisticRegression
2.4434146881103516,0.0,0.9473208910295003,0.947627436792874,0.9473208910295003,0.9473000368143953,0.9891336701417024,LogisticRegression
0.9884054660797119,0.012013673782348633,0.9458157736303432,0.9458215909688154,0.9458157736303432,0.9458155968729702,0.9891033487366981,LogisticRegression
1.7744019031524658,0.011001825332641602,0.9454983438723276,0.9458790123422274,0.9454983438723276,0.9454992729038015,0.9894468205513293,LogisticRegression
1.391451358795166,0.015637636184692383,0.9421860885275519,0.9429883505798728,0.9421860885275519,0.9421681046524686,0.9867217960575232,LogisticRegression
42.648921966552734,1.135359764099121,0.9166164960866947,0.9181773957272223,0.9166164960866947,0.9165469985101152,0.9783619969727022,RandomForest
55.645122051239014,1.1950030326843262,0.9232390126429861,0.9243052828510508,0.9232390126429861,0.923222672441381,0.9780012290423802,RandomForest
58.12965202331543,1.1583383083343506,0.9211318482841662,0.9234161201179139,0.9211318482841662,0.9210253339140534,0.980486936740849,RandomForest
60.232433795928955,1.4958679676055908,0.9235170129479072,0.9243997766372832,0.9235170129479072,0.9234471306501595,0.9812231327608911,RandomForest
62.75747275352478,1.1934235095977783,0.9229147847034026,0.9237807607184264,0.9229147847034026,0.9228632156303913,0.9806863971854995,RandomForest
